 日期 ,商品ID, 定位 , 商品名称 ," 成交
金额 "," 去税
金额 "," 成交
件数 ","件数
占比",件单价," 万相台
花费 "," 万相台
成交 ", 万相台ROI ," 品销宝
花费 "," 品销宝
成交 "," 品销宝
ROI "," 推广
总花费 "," 推广
总成交 "," 推广
总ROI ","推广费
占比","推广
总费率"," 日销
成交 ","日销
成交占比"," 其他
费用 "," 净利润
(推广前) ","净利率
(推广前)"," 净利润
(万相台) ","净利率
(万相台)"," 净利润
(推广后) ","净利率
(推广后)",成交件数占比,万象台商品报表-花费, 花费差额 ,万象台商品报表-成交, 成交差额 ,Unnamed: 34
 7.20-7.26 ,929504658691.0, 巴东牛肉 , 营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食 , 653 , 578 , 30 ,0.8%,￥21.75 , 118 , 650 ,5.5, 15 , 35 ,2.3, 133 , 686 ,5.2,0.7%,20.3%, -33 ,-0.1%, 16 , 84 ,14.6%, -27 ,-4.6%, -56 ,-9.7%,1%, 118 , -   , 650 , -   , 17 
 7.20-7.26 ,744317232690.0, 多规格 , 营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍 , 728 , 644 , 26 ,0.7%,￥28.00 , 63 , 560 ,8.9, 15 , 35 ,2.3, 78 , 596 ,7.6,0.4%,10.7%, 132 ,0.4%, 16 , 103 ,16.0%, 43 ,6.7%, 14 ,2.2%,1%, 63 , -   , 560 , -   , 14 
 7.20-7.26 ,969423151512.0, 日韩混搭 , 营多捞面甜辣炸鸡火鸡面辣蘑菇泡面方便面速食干拌面宿舍宵夜旅行 , 538 , 476 , 26 ,0.7%,￥20.70 , 79 , 248 ,3.1, 14 , 32 ,2.3, 93 , 280 ,3.0,0.5%,17.3%, 258 ,0.7%, 14 , 100 ,21.0%, 25 ,5.3%, -1 ,-0.3%,1%, 79 , -   , 248 , -   , 14 
 7.20-7.26 ,1059563993918.0, 巴东牛肉 , 营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食 , 249 , 220 , 15 ,0.4%,￥16.57 , 36 , 224 ,6.2, 8 , 20 ,2.3, 44 , 243 ,5.5,0.2%,17.8%, 5 ,0.0%, 9 , 22 ,9.8%, -12 ,-5.5%, -28 ,-12.9%,0%, 36 , -   , 224 , -   , 8 
 7.20-7.26 ,735014804839.0, 24/30包 , 进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面 ," 1,037 ", 918 , 15 ,0.4%,￥69.14 , 230 , 848 ,3.7, 8 , 20 ,2.3, 239 , 867 ,3.6,1.3%,23.0%, 170 ,0.5%, 9 , 210 ,22.9%, -7 ,-0.8%, -23 ,-2.5%,0%, 230 , -   , 848 , -   , 8 
 7.20-7.26 ,766165464414.0, 12包 , 营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵 , 436 , 385 , 15 ,0.4%,￥29.04 , 12 , 65 ,5.3, 8 , 18 ,2.3, 20 , 83 ,4.1,0.1%,4.6%, 352 ,1.0%, 8 , 60 ,15.6%, 48 ,12.6%, 33 ,8.7%,0%, 12 , -   , 65 , -   , 8 
 7.20-7.26 ,886856687067.0, 大骨 , 营多捞面牛系列大骨牛肉味方便面食品泡面拉面汤面宿舍宵夜旅行 , 242 , 214 , 13 ,0.3%,￥18.61 , 10 , 24 ,2.2, 7 , 15 ,2.3, 17 , 39 ,2.3,0.1%,7.1%, 203 ,0.6%, 7 , 31 ,14.7%, 22 ,10.1%, 9 ,4.1%,0%, 10 , -   , 24 , -   , 7 
 7.20-7.26 ,898076297965.0, 番茄牛肉 , 进口正品意面风味奶香番茄牛肉味意式拌面营多捞面早餐儿童宝妈餐 , 193 , 171 , 11 ,0.3%,￥17.57 , 23 , 139 ,6.0, 6 , 14 ,2.3, 29 , 153 ,5.2,0.2%,15.2%, 40 ,0.1%, 6 , 14 ,7.9%, -8 ,-4.9%, -20 ,-11.7%,0%, 23 , -   , 139 , -   , 6 
 7.20-7.26 ,885645733215.0, 大骨牛肉 , 进口营多大骨番茄牛肉味营多捞面意式泡面宿舍宿舍宵夜速食方便面 , 182 , 161 , 10 ,0.3%,￥18.17 , 15 , 74 ,5.0, 5 , 13 ,2.3, 20 , 86 ,4.3,0.1%,11.1%, 95 ,0.3%, 6 , 16 ,10.0%, 2 ,1.4%, -8 ,-5.1%,0%, 15 , -   , 74 , -   , 6 
 7.20-7.26 ,648604228786.0, 杯面混搭 , INDOMIE营多日式杯面原味经典泡面整箱批发速食宿舍旅行宵夜宿舍 , 213 , 188 , 8 ,0.2%,￥26.57 , 12 , 8 ,0.7, 5 , 11 ,2.3, 17 , 19 ,1.1,0.1%,7.9%, 193 ,0.5%, 5 , 29 ,15.5%, 18 ,9.5%, 9 ,4.6%,0%, 12 , -   , 8 , -   , 4 
