,周数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,日期,GMV,"退款
金额","去退
金额","支付
人数",客单价,"袋面
总销量（包）","袋面
总销量(箱）","杯面
总销量（箱）","袋面
支付
金额","袋面
单包价",杯面单价,"推广前
利润","推广前
利率",日期,万相台,,,品销宝,,,"推广
投入","推广
产出"," 推广
ROI ","推广
费率",其他费用,"推广后
利润","推广后
利率",备注,,,,,,,,
,,,,,,,,,,,,,,,,投入,产出,ROI,投入,产出,ROI,,,,,,,,,,,,,,,,
,4.27-5.3," 93,599 "," 6,386 "," 87,213 "," 2,834 ", 33.03 ," 28,922 ", 996 , 264 ," 73,006 ", 2.52 , 4.62 ," 13,518 ",17.51%,4.27-5.3," 15,709 "," 70,900 ", 4.5 ," 1,821 "," 4,123 ", 2.3 ," 17,530 "," 75,023 ", 4.3 ,20.10%," 1,911 "," -4,823 ",-5.09%,5月其他费用9556.96,,,,,,,,
,5.4-5.10," 132,388 "," 13,012 "," 119,376 "," 4,061 ", 32.60 ," 37,817 "," 1,304 ", 431 ," 95,923 ", 2.54 , 4.61 ," 17,359 ",16.43%,5.4-5.10," 19,065 "," 91,708 ", 4.8 ," 2,029 "," 6,423 ", 3.2 ," 21,093 "," 98,131 ", 4.7 ,17.67%," 1,911 "," -4,344 ",-4.11%,,,,,,,,,
,5.11-5.17," 130,304 "," 12,477 "," 117,828 "," 4,262 ", 30.57 ," 37,945 "," 1,317 ", 414 ," 95,742 ", 2.52 , 4.54 ," 15,585 ",14.95%,5.11-5.17," 20,169 "," 93,838 ", 4.7 ," 2,031 "," 5,423 ", 2.7 ," 22,200 "," 99,261 ", 4.5 ,18.84%," 1,911 "," -7,161 ",-6.87%,,,,,,,,,
,5.18-5.24," 139,241 "," 15,430 "," 123,811 "," 4,399 ", 31.65 ," 40,749 "," 1,411 ", 413 ," 102,217 ", 2.51 , 4.53 ," 16,979 ",15.50%,5.18-5.24," 21,127 "," 93,269 ", 4.4 ," 2,071 "," 4,754 ", 2.3 ," 23,198 "," 98,023 ", 4.2 ,18.74%," 1,911 "," -6,709 ",-6.12%,,,,,,,,,
,5.25-5.31," 139,104 "," 16,404 "," 122,700 "," 5,301 ", 26.24 ," 39,900 "," 1,386 ", 421 ," 100,552 ", 2.52 , 4.53 ," 16,534 ",15.23%,5.25-5.31," 20,801 "," 92,955 ", 4.5 ," 2,066 "," 4,095 ", 2.0 ," 22,867 "," 97,050 ", 4.2 ,18.64%," 1,911 "," -6,842 ",-6.30%,,,,,,,,,
,6.1-6.7," 123,012 "," 12,326 "," 110,687 "," 3,879 ", 31.71 ," 36,514 "," 1,262 ", 368 ," 91,228 ", 2.50 , 4.51 ," 14,905 ",15.22%,6.1-6.7," 18,027 "," 83,889 ", 4.7 ," 2,074 "," 5,323 ", 2.6 ," 20,101 "," 89,212 ", 4.4 ,18.16%," 3,605 "," -7,458 ",-7.61%,6月其他费用14419.01,3604.7525,,,,,,,
,6.8-6.14," 113,858 "," 11,354 "," 102,504 "," 3,694 ", 30.82 ," 33,551 "," 1,152 ", 348 ," 84,130 ", 2.51 , 4.59 ," 13,782 ",15.19%,6.8-6.14," 18,130 "," 78,093 ", 4.3 ," 2,066 "," 4,387 ", 2.1 ," 20,196 "," 82,479 ", 4.1 ,19.70%," 3,605 "," -8,672 ",-9.56%,,,,,,,,,
,6.15-6.21," 112,643 "," 10,320 "," 102,323 "," 3,598 ", 31.31 ," 34,243 "," 1,182 ", 305 ," 86,081 ", 2.51 , 4.54 ," 13,834 ",15.28%,6.15-6.21," 17,443 "," 71,210 ", 4.1 ," 2,047 "," 4,488 ", 2.2 ," 19,490 "," 75,698 ", 3.9 ,19.05%," 3,605 "," -7,953 ",-8.78%,,,,,,,,,
,6.22-6.28," 95,317 "," 8,127 "," 87,190 "," 3,100 ", 30.75 ," 27,493 ", 953 , 315 ," 69,574 ", 2.53 , 4.53 ," 11,722 ",15.19%,6.22-6.28," 15,149 "," 69,894 ", 4.6 ," 1,902 "," 4,142 ", 2.2 ," 17,051 "," 74,037 ", 4.3 ,19.56%," 3,605 "," -7,765 ",-10.06%,,,,,,,,,
,6.29-7.5," 100,176 "," 8,247 "," 91,929 "," 3,148 ", 31.82 ," 29,256 "," 1,022 ", 339 ," 74,914 ", 2.56 , 4.51 ," 12,985 ",15.96%,6.29-7.5," 15,444 "," 68,088 ", 4.4 ," 1,912 "," 5,093 ", 2.7 ," 17,357 "," 73,180 ", 4.2 ,18.88%," 1,951 "," -5,230 ",-6.43%,,,,,,,,,
,7.6-7.12," 131,865 "," 11,605 "," 120,260 "," 4,185 ", 31.51 ," 39,740 "," 1,389 ", 360 ," 74,914 ", 2.56 , 4.51 ," 16,861 ",15.84%,7.6-7.12," 18,107 "," 90,992 ", 5.0 ," 2,066 "," 5,286 ", 2.6 ," 20,174 "," 96,278 ", 4.8 ,16.78%," 2,054 "," -4,109 ",-3.86%,,,,,,,,,
,7.13-7.19," 109,087 "," 9,008 "," 100,078 "," 3,553 ", 30.70 ," 33,067 "," 1,159 ", 296 ," 74,914 ", 2.56 , 4.51 ," 13,701 ",15.47%,7.13-7.19," 15,553 "," 75,702 ", 4.9 ," 2,018 "," 4,391 ", 2.2 ," 17,570 "," 80,093 ", 4.6 ,17.56%," 2,405 "," -5,144 ",-5.81%,,,,,,,,,
,7.20-7.26," 107,560 "," 9,080 "," 98,481 "," 3,500 ", 30.73 ," 31,835 "," 1,125 ", 293 ," 74,914 ", 2.56 , 4.51 ," 13,545 ",15.54%,7.20-7.26," 16,156 "," 81,135 ", 5.0 ," 2,022 "," 4,721 ", 2.3 ," 18,177 "," 85,856 ", 4.7 ,18.46%," 2,097 "," -5,582 ",-6.41%,,,,,,,,,
,7.27-8.2," 118,941 "," 11,623 "," 107,318 "," 3,747 ", 31.74 ," 34,552 "," 1,215 ", 338 ," 74,914 ", 2.56 , 4.51 ," 15,036 ",15.83%,7.27-8..2," 17,150 "," 88,287 ", 5.1 ," 2,055 "," 4,420 ", 2.2 ," 19,205 "," 92,707 ", 4.8 ,17.90%," 2,127 "," -5,089 ",-5.36%,,,,,,,,,
,8.3-8.9," 135,684 "," 14,389 "," 121,296 "," 4,240 ", 32.00 ," 34,744 "," 1,246 ", 378 ," 74,914 ", 2.56 , 4.51 ," 17,449 ",16.26%,8.3-8.9," 20,195 "," 94,369 ", 4.7 ," 2,059 "," 4,470 ", 2.2 ," 22,254 "," 98,839 ", 4.4 ,18.35%," 2,412 "," -5,821 ",-5.42%,,,,,,,,,
,近四周平均," 117,818 "," 11,025 "," 106,793 "," 3,760 ", 31.33 ," 33,550 "," 1,186 ", 326 ," 74,914 ", 2.23 , 4.51 ," 14,933 ",15.80%,近四周平均," 17,263 "," 84,873 ", 4.9 ," 2,038 "," 4,500 ", 2.2 ," 19,302 "," 89,374 ", 4.6 ,18.07%," 2,260 "," -5,409 ",-5.72%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
