商品ID,定位,商品名称,5.11-5.17,5.25-5.31,6.15-6.21,6.22-6.28,6.29-7.5,7.6-7.12,7.13-7.19,7.20-8.2,是否原味大大相关
668566625747,袋面主链接,印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱,-1370.0,-2056.0,-950.0,-1396.0,-1032.0,-911.0,-1578.0,-629.0,
649361890551,袋面次链接,营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面,-3173.0,-2546.0,-3313.0,-2104.0,-1690.0,-1808.0,-1447.0,-1753.0,
649735171438,杯面主链接,印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面,-1160.0,-1292.0,-1523.0,-1456.0,-1143.0,-1024.0,-963.0,-789.0,
1057479227624,巴东牛肉,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,,,,-185.0,-469.0,-657.0,-674.0,-612.0,
648600900806,30包,进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面,5.0,-69.0,-187.0,-257.0,-148.0,41.0,-202.0,-488.0,
1013887677295,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,-65.0,-148.0,-137.0,-135.0,-107.0,-128.0,-174.0,-147.0,是
1059563993918,巴东牛肉,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,,,,-107.0,-206.0,-50.0,-115.0,-30.0,
648681860568,杯面次链接,营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面,-87.0,-97.0,-161.0,-69.0,47.0,-160.0,-100.0,-279.0,
649014937782,24包,印尼营多捞面干拌面一整箱24袋装批发泡面宿舍速食方便面火鸡面,-91.0,-145.0,-47.0,-154.0,-164.0,-5.0,-63.0,-235.0,
929504658691,巴东牛肉,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,-59.0,-95.0,-326.0,-312.0,-194.0,-64.0,-49.0,-79.0,
1060999732877,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,,,,31.0,-28.0,-40.0,-44.0,-51.0,是
648598580775,原味大包,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,25.0,-66.0,-70.0,-116.0,-117.0,64.0,-37.0,-85.0,是
969423151512,日韩混搭,营多捞面甜辣炸鸡火鸡面辣蘑菇泡面方便面速食干拌面宿舍宵夜旅行,-12.0,-12.0,-32.0,-41.0,-83.0,-16.0,-26.0,-61.0,
976479938842,【U选】原味5,【天猫U选】indomie营多大骨牛肉味捞面拌面5包,-93.0,-20.0,-34.0,-8.0,-9.0,-37.0,-22.0,-21.0,
971242260371,韩式袋面,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,1.0,-56.0,-10.0,-37.0,-48.0,-60.0,-21.0,-30.0,
898076297965,番茄牛肉,进口正品意面风味奶香番茄牛肉味意式拌面营多捞面早餐儿童宝妈餐,-56.0,-11.0,-13.0,-16.0,-13.0,-19.0,-16.0,-19.0,
648604228786,杯面混搭,INDOMIE营多日式杯面原味经典泡面整箱批发速食宿舍旅行宵夜宿舍,-24.0,6.0,9.0,-6.0,6.0,16.0,-15.0,7.0,
937005385662,日式袋面,进口营多正品捞面日式鸡肉鸡汤辛辣味袋装泡面辣味速食方便面汤面,-109.0,-26.0,-34.0,15.0,1.0,-9.0,-13.0,-68.0,
744317232690,多规格,营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍,-31.0,-6.0,66.0,-4.0,-61.0,8.0,-10.0,-40.0,
947413291596,杯面混搭,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,0.0,-5.0,-5.0,-1.0,-4.0,-9.0,-10.0,0.0,
903183018417,七口味混搭,进口营多捞面汤面拌面七口味混合方便面速拉面宿舍拌面泡面食食品,-2.0,-12.0,9.0,-1.0,-4.0,-16.0,-9.0,0.0,
1028450344901,韩式火鸡,营多韩式火鸡面袋装拌面干拌面泡面方便面速食面宿舍宵夜旅行,,1.0,2.0,-8.0,-5.0,0.0,-8.0,1.0,
885645733215,大骨牛肉,进口营多大骨番茄牛肉味营多捞面意式泡面宿舍宿舍宵夜速食方便面,-2.0,1.0,-4.0,-10.0,-5.0,-6.0,-7.0,,
