id,定位,商品名称,商品ID,5.11-5.17环比,5.25-5.31环比,6.15-6.21环比,6.22-6.28环比,6.29-7.5环比,7.6-7.12环比,7.13-7.19环比,7.20-8.2环比
1013887677295,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,1013887677295,,-83.0,11.0,2.0,28.0,-21.0,-46.0,27.0
1014512281808,杯面混搭,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,1014512281808,,,,,,,,
1019397839311,多口味混搭,营多捞面原味番茄牛肉袋装泡面汤面干拌面方便面宿舍速食旅行宵夜,1019397839311,,,,,,,,
1019572719528,日韩袋面,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,1019572719528,,,,,,-1.0,0.0,
1028450344901,韩式火鸡,营多韩式火鸡面袋装拌面干拌面泡面方便面速食面宿舍宵夜旅行,1028450344901,,,1.0,-10.0,3.0,5.0,-8.0,9.0
1040679932754,杯面混搭,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,1040679932754,,,,,,,,
1056927747753,巴东,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,1056927747753,,,,,,,,
1057479227624,巴东牛肉,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,1057479227624,,,,,-284.0,-188.0,-17.0,62.0
1058280415678,原味大包,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,1058280415678,,,,,-61.0,11.0,23.0,56.0
1059563993918,巴东牛肉,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,1059563993918,,,,,-99.0,156.0,-65.0,85.0
1060999732877,原味大包,indomie印尼进口营多原味大大包129g捞面方便面速食食品宵夜小吃,1060999732877,,,,,-59.0,-12.0,-4.0,-7.0
1067957289054,巴东牛肉,【新口味】印尼进口营多捞面巴东炖牛肉味泡面方便面宿舍速食宵夜,1067957289054,,,,,,,,
648598580775,原味大包,印尼进口大大包营多原味捞面5包干拌面速食超大包方便面速食宵夜,648598580775,,-91.0,-4.0,-46.0,-1.0,181.0,-101.0,-48.0
648600900806,30包,进口营多捞面一整箱30包网红速食方便面宿舍速食泡面干拌面拉面,648600900806,,-74.0,-118.0,-70.0,109.0,189.0,-243.0,-286.0
648604228786,杯面混搭,INDOMIE营多日式杯面原味经典泡面整箱批发速食宿舍旅行宵夜宿舍,648604228786,,30.0,3.0,-15.0,12.0,10.0,-31.0,22.0
648681860568,杯面次链接,营多捞面杯装方便面泡面速食干拌面原味整箱批发印尼进口桶装拌面,648681860568,,-10.0,-64.0,92.0,116.0,-207.0,60.0,-179.0
649014937782,24包,印尼营多捞面干拌面一整箱24袋装批发泡面宿舍速食方便面火鸡面,649014937782,,-54.0,98.0,-107.0,-10.0,159.0,-58.0,-172.0
649361890551,袋面次链接,营多捞面印尼进口Indomie网红夜宵早餐方便面火鸡面泡面拌面,649361890551,,627.0,-767.0,1209.0,414.0,-118.0,361.0,-306.0
649369494424,24包经典/牛系列,营多捞面干拌面一整箱24袋装批发泡面混搭宿舍速食方便面火鸡面,649369494424,,-12.0,-167.0,-30.0,254.0,310.0,-210.0,-116.0
649729851594,小规格,营多捞面袋装8包装泡面宿舍速食面热干面干拌面方便面火鸡面食品,649729851594,,25.0,-14.0,-7.0,,,-9.0,9.0
649731447266,20包经典/牛系列,营多印尼进口营多捞面方便面火鸡面干拌面20包宿舍速食泡面夜宵,649731447266,,-17.0,21.0,30.0,-30.0,20.0,-15.0,9.0
649735171438,杯面主链接,印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面,649735171438,,-132.0,-231.0,67.0,313.0,119.0,61.0,174.0
668566625747,袋面主链接,印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱,668566625747,,-686.0,1106.0,-446.0,364.0,121.0,-667.0,949.0
735014804839,24/30包,进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面,735014804839,,7.0,166.0,-135.0,30.0,83.0,-29.0,-98.0
744317232690,多规格,营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍,744317232690,,25.0,72.0,-70.0,-57.0,69.0,-18.0,-30.0
754828376158,六口味混搭,进口营多捞面汤面拌面六口味混合方便面速食食品泡面,754828376158,,1.0,,,,,,
