周次,来源文件,工作表,筛选店铺,筛选订单状态,原始行数,筛选后行数,订单状态分布,商家实收,去税收入,总成本,推广前利润,字段复核推广前利润,与字段复核差异
7.27-8.2,天猫周报数据_7.27-8.2两家店.xlsx,周报数据_7.27-8.2,天猫旗舰店,已发货/已签收/待发货（排除退款成功、取消、待支付）,4840,3871,已发货，待签收:3071；已签收:800,107678.84999999999,95291.053,46088.85,15035.849999999999,15035.85,-1.8189894035458565e-12
8.3-8.9,天猫周报数据_8.3-8.9两家店.xlsx,周报数据_8.3-8.9,天猫旗舰店,已发货/已签收/待发货（排除退款成功、取消、待支付）,5364,4364,已发货，待签收:3308；已签收:694；待发货:362,121907.66,107882.93400000001,52085.899999999994,17448.573,17448.573,0.0
