id,商品名称,定位,5.11-5.17,5.25-5.31,6.15-6.21,6.22-6.28,6.29-7.5,7.13-7.19,7.20-8.2
649735171438,印尼进口indomie营多捞面杯面速食泡面干拌面盒桶装方便面火鸡面,杯面主链接,,-132.0,-231.0,67.0,313.0,180.0,174.0
668566625747,印尼营多捞面进口网红泡面袋装方便面速食食品拉面火鸡面拌面整箱,袋面主链接,,-686.0,1106.0,-446.0,364.0,-546.0,949.0
735014804839,进口营多捞面多口味Indomie网红方便面干拌面泡面30包整箱批发面,24/30包,,7.0,166.0,-135.0,30.0,54.0,-98.0
744317232690,营多捞面汤面清香牛肉味方便面泡面速食食品泡面拉面整箱旅行宿舍,多规格,,25.0,72.0,-70.0,-57.0,51.0,-30.0
754828376158,进口营多捞面汤面拌面六口味混合方便面速食食品泡面,六口味混搭,,1.0,,,,,
766165464414,营多印尼进口营多捞面方便面火鸡面干拌面12包宿舍速食泡面夜宵,12包,,90.0,-126.0,-29.0,10.0,-55.0,48.0
773972883430,营多捞面韩式火鸡面辣蘑菇汤面袋装泡面辣味速食方便面宿舍宵夜面,韩式袋面,,20.0,-5.0,3.0,-6.0,,
775016827115,进口营多原味杯面日式杯面韩式杯面泡面方便面汤面宿舍速食夜宵,杯面混搭,,,-4.0,,,-1.0,
869217868453,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,韩式杯面,,6.0,,,-10.0,,
885645733215,进口营多大骨番茄牛肉味营多捞面意式泡面宿舍宿舍宵夜速食方便面,大骨牛肉,,3.0,-5.0,-6.0,5.0,-2.0,
886856687067,营多捞面牛系列大骨牛肉味方便面食品泡面拉面汤面宿舍宵夜旅行,大骨,,1.0,-3.0,-10.0,15.0,26.0,-45.0
898076297965,进口正品意面风味奶香番茄牛肉味意式拌面营多捞面早餐儿童宝妈餐,番茄牛肉,,45.0,-2.0,-3.0,3.0,-3.0,-3.0
898120785283,进口意大利面风味奶香番茄牛肉味意式营多早餐儿童宝妈家庭餐拌面,番茄,,-4.0,7.0,-3.0,-3.0,-2.0,15.0
903183018417,进口营多捞面汤面拌面七口味混合方便面速拉面宿舍拌面泡面食食品,七口味混搭,,-10.0,21.0,-10.0,-3.0,-5.0,9.0
916072786304,营多印尼进口营多捞面方便面火鸡面干拌面10包宿舍速食泡面夜宵,小规格,,7.0,,,,,1.0
929504658691,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,巴东牛肉,,-36.0,-231.0,14.0,118.0,145.0,-30.0
932687928859,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,杯面混搭,,,,-1.0,-2.0,-6.0,9.0
937005385662,进口营多正品捞面日式鸡肉鸡汤辛辣味袋装泡面辣味速食方便面汤面,日式袋面,,83.0,-8.0,49.0,-14.0,-14.0,-55.0
947413291596,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,杯面混搭,,-5.0,0.0,4.0,-3.0,-6.0,10.0
949962665617,营多捞面多口味袋装泡面拌面速食面干拌面方便面宿舍宵夜速食旅行,组合,,-21.0,25.0,,,,
965545088099,营多捞面多口味袋装泡面拌面速食面干拌面方便面速食宵夜宿舍旅行,十口味混搭,,,,,,,
969423151512,营多捞面甜辣炸鸡火鸡面辣蘑菇泡面方便面速食干拌面宿舍宵夜旅行,日韩混搭,,0.0,-20.0,-9.0,-42.0,57.0,-35.0
969433743398,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,韩蘑菇,,-1.0,85.0,-10.0,-2.0,4.0,12.0
971242260371,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,韩式袋面,,-57.0,46.0,-27.0,-11.0,27.0,-9.0
975092562679,营多韩式甜辣炸鸡火鸡面辣蘑菇杯面拌面泡面方便面速食宵夜旅行,韩式杯面,,,9.0,-11.0,,,
976466902934,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,杯面混搭,,23.0,4.0,-9.0,12.0,0.0,
976467954327,【天猫U选】indomie营多捞面辣蘑菇味日式辣味杯面,日韩杯面,,2.0,,,-3.0,3.0,-10.0
976479938842,【天猫U选】indomie营多大骨牛肉味捞面拌面5包,【U选】原味5,,73.0,-14.0,26.0,-1.0,-13.0,1.0
