id,商品名称,定位,5.11-5.17,5.25-5.31,6.15-6.21,6.22-6.28,6.29-7.5,7.13-7.19,7.20-8.2,合计,首末周变化,近两期变化
903183018417,进口营多捞面汤面拌面七口味混合方便面速拉面宿舍拌面泡面食食品,七口味混搭,-2.0,-12.0,9.0,-1.0,-4.0,-9.0,0.0,-19.0,2.0,9.0
916072786304,营多印尼进口营多捞面方便面火鸡面干拌面10包宿舍速食泡面夜宵,小规格,-7.0,0.0,,-3.0,,-3.0,-2.0,-15.0,5.0,1.0
929504658691,营多进口新口味巴东炖牛肉味捞面印尼料理方便面泡面捞面夜宵速食,巴东牛肉,-59.0,-95.0,-326.0,-312.0,-194.0,-49.0,-79.0,-1114.0,-20.0,-30.0
932687928859,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,杯面混搭,14.0,,7.0,6.0,4.0,-2.0,7.0,36.0,-7.0,9.0
937005385662,进口营多正品捞面日式鸡肉鸡汤辛辣味袋装泡面辣味速食方便面汤面,日式袋面,-109.0,-26.0,-34.0,15.0,1.0,-13.0,-68.0,-234.0,41.0,-55.0
947413291596,印尼进口营多捞面杯面原味甜辣蘑菇味整箱速食拌面拉面泡面方便面,杯面混搭,0.0,-5.0,-5.0,-1.0,-4.0,-10.0,0.0,-25.0,0.0,10.0
949962665617,营多捞面多口味袋装泡面拌面速食面干拌面方便面宿舍宵夜速食旅行,组合,-48.0,-69.0,-44.0,,-15.0,,,-176.0,33.0,29.0
965545088099,营多捞面多口味袋装泡面拌面速食面干拌面方便面速食宵夜宿舍旅行,十口味混搭,,14.0,,,7.0,,10.0,31.0,-4.0,3.0
969423151512,营多捞面甜辣炸鸡火鸡面辣蘑菇泡面方便面速食干拌面宿舍宵夜旅行,日韩混搭,-12.0,-12.0,-32.0,-41.0,-83.0,-26.0,-61.0,-267.0,-49.0,-35.0
969433743398,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,韩蘑菇,-81.0,-82.0,3.0,-7.0,-9.0,-5.0,7.0,-174.0,88.0,12.0
971242260371,新品营多捞面韩式辣蘑菇汤面泡面方便面速食干拌面宿舍宵夜旅行,韩式袋面,1.0,-56.0,-10.0,-37.0,-48.0,-21.0,-30.0,-201.0,-31.0,-9.0
975092562679,营多韩式甜辣炸鸡火鸡面辣蘑菇杯面拌面泡面方便面速食宵夜旅行,韩式杯面,,2.0,11.0,0.0,,,,13.0,-2.0,-11.0
976466902934,营多捞面韩式甜辣炸鸡辣蘑菇杯面方便面拌面泡面宿舍速食面,杯面混搭,-33.0,-10.0,-6.0,-15.0,-3.0,-3.0,,-70.0,30.0,0.0
976467954327,【天猫U选】indomie营多捞面辣蘑菇味日式辣味杯面,日韩杯面,-8.0,-6.0,,-3.0,-6.0,-3.0,-13.0,-39.0,-5.0,-10.0
976479938842,【天猫U选】indomie营多大骨牛肉味捞面拌面5包,【U选】原味5,-93.0,-20.0,-34.0,-8.0,-9.0,-22.0,-21.0,-207.0,72.0,1.0
